23.5,1.8,16.2,2.4,238.6,671.2,1153.4;0.774,0.357,0.524,0.393,0.575,0.114,0.436;nan,nan;nan,nan;0
4.5,4.3,14.6,4.4,96.5,1305.0,1321.7;0.120,0.869,0.468,0.736,0.201,0.537,0.548;nan,nan;nan,nan;0
10.2,0.1,24.8,1.3,175.5,1945.9,674.3;0.317,0.011,0.821,0.208,0.409,0.964,0.116;nan,nan;nan,nan;0
16.6,2.6,5.0,5.6,317.6,1077.6,1988.3;0.539,0.529,0.139,0.929,0.783,0.385,0.992;nan,nan;nan,nan;0
21.5,0.7,11.6,5.2,394.4,730.5,857.3;0.705,0.139,0.367,0.866,0.985,0.154,0.238;nan,nan;nan,nan;0
13.2,3.3,20.5,0.1,157.4,1549.2,1808.2;0.422,0.650,0.674,0.021,0.362,0.699,0.872;nan,nan;nan,nan;0
5.1,2.4,2.1,3.3,31.5,1699.2,961.4;0.141,0.478,0.038,0.549,0.030,0.799,0.308;nan,nan;nan,nan;0
29.5,5.0,29.1,2.0,268.6,1021.4,1516.6;0.982,0.998,0.970,0.330,0.654,0.348,0.678;nan,nan;nan,nan;0
27.7,0.4,3.3,0.7,76.6,1179.8,739.3;0.919,0.080,0.079,0.122,0.149,0.453,0.160;nan,nan;nan,nan;0
6.9,2.8,27.0,4.7,219.8,1814.4,1691.8;0.203,0.569,0.897,0.780,0.526,0.876,0.795;nan,nan;nan,nan;0
15.1,1.5,8.3,1.8,349.3,1437.2,1032.5;0.485,0.303,0.250,0.308,0.867,0.625,0.355;nan,nan;nan,nan;0
19.6,3.9,21.1,3.5,206.2,568.2,1586.1;0.643,0.782,0.694,0.586,0.490,0.045,0.724;nan,nan;nan,nan;0
18.4,2.1,24.6,3.9,128.6,959.4,1224.5;0.601,0.424,0.812,0.649,0.286,0.306,0.483;nan,nan;nan,nan;0
8.4,4.6,8.1,3.0,366.7,1778.8,1391.2;0.255,0.912,0.244,0.496,0.912,0.853,0.594;nan,nan;nan,nan;0
2.7,1.0,18.7,5.8,285.5,1470.3,556.3;0.057,0.209,0.609,0.968,0.699,0.647,0.038;-0.358,-0.481;-0.168,-0.618;1
